0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:45 -0500] GET /publisher/services/auth/callback/logout HTTP/1.1 302 - https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.257
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:45 -0500] GET /publisher/logout HTTP/1.1 200 1863 https://localhost:9443/publisher/ Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.006
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:45 -0500] GET /publisher/site/public/locales/es.json HTTP/1.1 404 - https://localhost:9443/publisher/logout Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.002
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:45 -0500] GET /api/am/publisher/v1.0/swagger.yaml HTTP/1.1 200 394752 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.028
127.0.0.1 - - [25/Feb/2020:01:03:46 -0500] GET /api/am/publisher/v1.0/settings HTTP/1.1 200 726 - Jakarta Commons-HttpClient/3.1 0.236
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:46 -0500] GET /publisher/services/auth/login HTTP/1.1 302 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.333
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:46 -0500] GET /oauth2/authorize?response_type=code&client_id=9s4I5cIx9bv9VxHogQbG3ij8Pe0a&scope=apim:api_create%20apim:api_delete%20apim:api_publish%20apim:api_view%20apim:client_certificates_add%20apim:client_certificates_update%20apim:client_certificates_view%20apim:document_create%20apim:document_manage%20apim:ep_certificates_add%20apim:ep_certificates_update%20apim:ep_certificates_view%20apim:external_services_discover%20apim:mediation_policy_create%20apim:mediation_policy_manage%20apim:mediation_policy_view%20apim:pub_alert_manage%20apim:publisher_settings%20apim:subscription_block%20apim:subscription_view%20apim:threat_protection_policy_create%20apim:threat_protection_policy_manage%20openid&state=/apis&redirect_uri=https://localhost:9443/publisher/services/auth/callback/login HTTP/1.1 302 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.184
127.0.0.1 - - [25/Feb/2020:01:03:46 -0500] POST /oauth2/token HTTP/1.1 200 1630 - Jakarta Commons-HttpClient/3.1 0.038
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:46 -0500] GET /publisher/services/auth/callback/login?code=64b59382-4e24-3bc4-a601-46bf1e5b6f78&state=%2Fapis&session_state=2c1c21c928e6450ed427613f1af07d42af84bb0d9d5a01c631da52c812b34507._YlhyBvxBwiIH7QyhvgPWg HTTP/1.1 302 - https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.090
0:0:0:0:0:0:0:1 - - [25/Feb/2020:01:03:46 -0500] GET /publisher/apis HTTP/1.1 200 1863 https://localhost:9443/publisher/apis Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.116 Safari/537.36 0.003
